metro,state,cbsa_code,latitude,longitude
Atlanta,GA,12060,33.749,-84.388
Austin,TX,12420,30.2672,-97.7431
Baltimore,MD,12580,39.2904,-76.6122
Birmingham,AL,13820,33.5186,-86.8104
Boston,MA,14460,42.3601,-71.0589
Buffalo,NY,15380,42.8864,-78.8784
Charlotte,NC,16740,35.2271,-80.8431
Chicago,IL,16980,41.8781,-87.6298
Cincinnati,OH,17140,39.1031,-84.512
Cleveland,OH,17410,41.4993,-81.6944
Columbus,OH,18140,39.9612,-82.9988
Dallas–Fort Worth,TX,19100,32.7767,-96.797
Denver,CO,19740,39.7392,-104.9903
Detroit,MI,19820,42.3314,-83.0458
Hartford,CT,25540,41.7658,-72.6734
Houston,TX,26420,29.7604,-95.3698
Indianapolis,IN,26900,39.7684,-86.1581
Jacksonville,FL,27260,30.3322,-81.6557
Kansas City,MO,28140,39.0997,-94.5786
Las Vegas,NV,29820,36.1699,-115.1398
Los Angeles,CA,31080,34.0522,-118.2437
Louisville,KY,31140,38.2527,-85.7585
Memphis,TN,32820,35.1495,-90.049
Miami,FL,33100,25.7617,-80.1918
Milwaukee,WI,33340,43.0389,-87.9065
Minneapolis–St. Paul,MN,33460,44.9778,-93.265
Nashville,TN,34980,36.1627,-86.7816
New Orleans,LA,35380,29.9511,-90.0715
New York,NY,35620,40.7128,-74.006
Oklahoma City,OK,36420,35.4676,-97.5164
Orlando,FL,36740,28.5383,-81.3792
Philadelphia,PA,37980,39.9526,-75.1652
Phoenix,AZ,38060,33.4484,-112.074
Pittsburgh,PA,38300,40.4406,-79.9959
Portland,OR,38900,45.5152,-122.6784
Providence,RI,39300,41.824,-71.4128
Raleigh,NC,39580,35.7796,-78.6382
Richmond,VA,40060,37.5407,-77.436
Sacramento,CA,40900,38.5816,-121.4944
Salt Lake City,UT,41620,40.7608,-111.891
San Antonio,TX,41700,29.4241,-98.4936
San Diego,CA,41740,32.7157,-117.1611
San Francisco,CA,41860,37.7749,-122.4194
Seattle,WA,42660,47.6062,-122.3321
St. Louis,MO,41180,38.627,-90.1994
Tampa,FL,45300,27.9506,-82.4572
Virginia Beach,VA,47260,36.8529,-75.978
Washington,DC,47900,38.9072,-77.0369
