country,outbound,inbound,balance,outbound_diversity,inbound_diversity,top3_outbound_share,top3_inbound_share
Austria,176377,202220,25843,38.0,35.0,38.2,37.8
Belgium,196362,226693,30331,37.0,27.5,39.7,48.6
Bulgaria,149113,96055,-53058,42.2,41.1,34.4,35.6
Croatia,101678,103117,1439,46.3,53.1,32.2,27.7
Cyprus,34745,76767,42022,27.6,39.2,45.1,39.1
Czechia,233437,242347,8910,52.0,38.7,29.4,35.8
Denmark,110864,130362,19498,41.0,39.1,37.2,37.9
Estonia,74773,67287,-7486,59.0,51.8,27.6,28.1
Finland,153598,205349,51751,40.6,34.4,36.9,43.3
France,944868,572224,-372644,35.0,31.3,39.6,48.0
Germany,911668,711815,-199853,41.5,44.1,36.4,34.3
Greece,222146,255251,33105,40.4,36.2,37.7,37.4
Hungary,191431,168456,-22975,47.6,40.3,32.8,35.2
Iceland,18842,40023,21181,45.9,44.8,32.4,34.0
Ireland,76619,260832,184213,30.8,21.1,46.7,57.7
Italy,832301,831820,-481,28.5,31.9,45.3,42.6
Latvia,98383,75333,-23050,50.1,47.1,30.2,29.2
Liechtenstein,2041,1837,-204,44.2,31.2,34.4,43.0
Lithuania,161752,107573,-54179,51.0,43.0,30.9,32.0
Luxembourg,11108,25829,14721,19.2,20.6,58.8,53.8
Malta,20680,155050,134370,43.0,30.6,35.1,47.0
Netherlands,290474,254710,-35764,35.4,41.1,41.1,36.8
North Macedonia,48333,29909,-18424,45.4,33.1,31.1,40.2
Norway,83350,127729,44379,38.5,30.0,36.3,45.4
Poland,550963,396398,-154565,35.1,36.8,41.1,39.4
Portugal,268773,434349,165576,34.9,38.8,42.4,37.2
Romania,350146,207853,-142293,41.1,38.7,34.6,36.6
Serbia,35929,22785,-13144,52.4,53.5,27.0,24.8
Slovakia,143949,89294,-54655,30.7,30.6,42.6,45.4
Slovenia,86979,93474,6495,50.7,52.7,30.4,27.8
Spain,858851,1219710,360859,33.3,33.1,40.7,45.0
Sweden,133749,186741,52992,38.0,29.6,37.4,46.2
Türkiye,454301,207715,-246586,40.9,42.8,36.1,34.5
United Kingdom,244999,446675,201676,26.0,28.3,51.0,48.6
